src_subject_id,eventname,reshist_addr1_adi_edu_l,reshist_addr1_adi_edu_h,reshist_addr1_adi_work_c,reshist_addr1_adi_income,reshist_addr1_adi_in_dis,reshist_addr1_adi_home_v,reshist_addr1_adi_rent,reshist_addr1_adi_mortg,reshist_addr1_adi_home_o,reshist_addr1_adi_crowd,reshist_addr1_adi_unemp,reshist_addr1_adi_pov,reshist_addr1_adi_b138,reshist_addr1_adi_sp,reshist_addr1_adi_ncar,reshist_addr1_adi_ntel,reshist_addr1_adi_nplumb,reshist_addr1_adi_wsum,reshist_addr1_adi_perc,reshist_addr2_adi_edu_l,reshist_addr2_adi_edu_h,reshist_addr2_adi_work_c,reshist_addr2_adi_income,reshist_addr2_adi_in_dis,reshist_addr2_adi_home_v,reshist_addr2_adi_rent,reshist_addr2_adi_mortg,reshist_addr2_adi_home_o,reshist_addr2_adi_crowd,reshist_addr2_adi_unemp,reshist_addr2_adi_pov,reshist_addr2_adi_b138,reshist_addr2_adi_sp,reshist_addr2_adi_ncar,reshist_addr2_adi_ntel,reshist_addr2_adi_nplumb,reshist_addr2_adi_wsum,reshist_addr2_adi_perc,reshist_addr3_adi_edu_l,reshist_addr3_adi_edu_h,reshist_addr3_adi_work_c,reshist_addr3_adi_income,reshist_addr3_adi_in_dis,reshist_addr3_adi_home_v,reshist_addr3_adi_rent,reshist_addr3_adi_mortg,reshist_addr3_adi_home_o,reshist_addr3_adi_crowd,reshist_addr3_adi_unemp,reshist_addr3_adi_pov,reshist_addr3_adi_b138,reshist_addr3_adi_sp,reshist_addr3_adi_ncar,reshist_addr3_adi_ntel,reshist_addr3_adi_nplumb,reshist_addr3_adi_wsum,reshist_addr3_adi_perc
NDAR_INVHGNA569Y,baseline_year_1_arm_1,4.637681,80.753624,96.45749,38226,2.7732906,50300,1033,756,48.8779,4.396728,16.342083,19.411764,36.581654,35,6.0327196,6.134969,0,119.7317,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHH47Y43Z,baseline_year_1_arm_1,0.99964297,94.43056,93.14942,76250,1.4706646,206300,1063,1210,93.17778,0,4.3956046,4.051724,9.916307,11.551724,1.8193632,2.9239767,1.1706716,99.81011,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHHAZYG1A,baseline_year_1_arm_1,0.42087543,94.02357,94.68235,70217,1.2952714,186800,1298,1334,84.384384,1.7463933,5.764967,7.767857,13.234663,17.857143,1.6704632,1.063022,0,102.42745,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHLRR37FK,baseline_year_1_arm_1,14.23441,71.727066,82.858475,32528,3.9386911,61300,788,577,47.009544,4.0173726,12.254098,19.900908,43.013485,31.461601,7.654723,6.514658,0.330033,119.506584,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBD1ZUWB,baseline_year_1_arm_1,2.0524516,94.46978,97.18482,89519,2.2367177,193600,842,1169,43.940125,0.4106776,10.121012,6.3872256,15.773955,16.966068,11.601643,1.3347023,2.7657735,99.264496,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHBDZY8K2,baseline_year_1_arm_1,4.4389644,85.94328,97.0115,34038,4.462854,44000,725,667,44.62541,0,14.031621,32.026142,46.90763,41.50327,43.076923,0.8791209,0,120.93799,98,4.4389644,85.94328,97.0115,34038,4.462854,44000,725,667,44.62541,0,14.031621,32.026142,46.90763,41.50327,43.076923,0.8791209,0,120.93799,98,4.4389644,85.94328,97.0115,34038,4.462854,44000,725,667,44.62541,0,14.031621,32.026142,46.90763,41.50327,43.076923,0.8791209,0,120.93799,98
NDAR_INVHF0D2M6B,baseline_year_1_arm_1,0,96.71824,96.24237,67656,3.4461489,227200,774,1357,45.95667,0.7198953,7.7955823,14.767933,30.872482,10.126582,11.45288,5.170157,0.4830918,99.01272,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHF0XT8CF,baseline_year_1_arm_1,3.361766,95.83543,98.35278,64167,1.8393612,206400,1322,829,77.795654,1.4213198,8.652038,3.132832,14.239742,3.132832,1.928934,1.928934,0,101.43629,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAR_INVHHJXG6Y1,baseline_year_1_arm_1,0.577108,96.56941,92.86347,85000,2.4819913,184600,675,1215,78.94626,0.5102041,4.810127,13.955119,17.27427,18.653576,5.272109,2.0408163,0,100.732414,37,1.6666666,93.49056,91.5963,86630,0.5871505,144000,1121,1162,82.17927,0.54315025,3.1919034,5.033809,12.140229,7.2877536,1.6294508,1.4484007,0,104.30635,45,,,,,,,,,,,,,,,,,,,
NDAR_INVHM2TZ8AD,baseline_year_1_arm_1,11.974684,81.21519,95.4525,57963,2.4992955,285600,1686,1382,80.346306,10.4768305,14.247105,14.205607,21.717081,12.897196,6.9845533,0.6715917,0,94.69204,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
